city,unit,model,outcome,target,spec,beta,se,z,pct,lo,hi,n,se_ratio_vs_naive,note,se_ratio_vs_cluster,beta_shift_vs_cluster,pct_shift_vs_cluster,lambda_spatial
cos-seattle,cell,relative height (TPI 500 m),n_total,tpi_500_z,b. Conley HAC 2000 m,-0.11258241217580123,0.029504847844656516,-3.8157259026906147,-10.647629315868079,-15.668262914802956,-5.328095651477549,18063,10.238939967908934,Bartlett kernel in distance; point estimate unchanged,1.2391650119582214,,,
cos-seattle,cell,relative height (TPI 500 m),n_total,tpi_500_z,b. Conley HAC 4000 m,-0.11258241217580123,0.03518593305274995,-3.1996426528470976,-10.647629315868079,-16.602081999617813,-4.268040038626253,18063,12.210422441043555,Bartlett kernel in distance; point estimate unchanged,1.477763158841996,,,
cos-seattle,cell,relative height (TPI 500 m),n_total,tpi_500_z,c. eigenvector spatial filter (50 EVs),-0.10893839758966538,0.02279205152328871,-4.779666169074473,-10.321434004510955,-14.239427971149144,-6.224445467763684,18063,7.909427241283143,Moran eigenvectors as covariates; SEs still clustered,0.9572363479760643,0.003644014586135849,0.32619531135712343,
cos-seattle,cell,relative height (TPI 500 m),n_total,tpi_500_z,d. Gaussian SEM on log rate,0.016776962177201635,0.011549540759994337,1.4526085950806118,1.6918485744588763,-0.5843000597009707,4.02011023108797,18063,,"LINEAR APPROXIMATION, not comparable to Poisson beta",,,,0.06004546225215677
cos-seattle,cell,theft (all loot classes),n_theft,slope_deg,0. naive (independence),-0.06080115097314396,0.0010543311023980594,-57.66798573508142,-5.898965983656879,-6.093223946544657,-5.70430617377008,18063,1.0,"reference denominator only; assumes independence, not to be quoted",,,,
cos-seattle,cell,theft (all loot classes),n_theft,slope_deg,a. cluster-robust (primary),-0.06080115097314396,0.00786941668625783,-7.726258933437788,-5.898965983656879,-7.339249606502496,-4.4362951374677495,18063,7.463895040522818,SEs clustered on block group,,,,
cos-seattle,cell,theft (all loot classes),n_theft,slope_deg,b. Conley HAC 500 m,-0.06080115097314396,0.007234718680637362,-8.404079502893333,-5.898965983656879,-7.223907154696619,-4.555103245078785,18063,6.861903878375691,Bartlett kernel in distance; point estimate unchanged,0.9193462449727912,,,
cos-seattle,cell,theft (all loot classes),n_theft,slope_deg,b. Conley HAC 1000 m,-0.06080115097314396,0.0082901853476427,-7.3341123778894355,-5.898965983656879,-7.41563603419414,-4.357450614281044,18063,7.862980925808604,Bartlett kernel in distance; point estimate unchanged,1.0534688501270555,,,
cos-seattle,cell,theft (all loot classes),n_theft,slope_deg,b. Conley HAC 2000 m,-0.06080115097314396,0.009481849306446145,-6.412372629863341,-5.898965983656879,-7.631629413692442,-4.133800924083775,18063,8.99323683506996,Bartlett kernel in distance; point estimate unchanged,1.204898620123149,,,
cos-seattle,cell,theft (all loot classes),n_theft,slope_deg,b. Conley HAC 4000 m,-0.06080115097314396,0.01109450737478302,-5.480292988162809,-5.898965983656879,-7.923127338499148,-3.8303067101515986,18063,10.52279246011878,Bartlett kernel in distance; point estimate unchanged,1.409825888894292,,,
cos-seattle,cell,theft (all loot classes),n_theft,slope_deg,c. eigenvector spatial filter (50 EVs),-0.06051986225088235,0.0066116634745905355,-9.153500096226598,-5.872492700891541,-7.084408445348056,-4.644769708726793,18063,6.270955546651723,Moran eigenvectors as covariates; SEs still clustered,0.8401719896388663,0.0002812887222616092,0.026473282765338446,
